Price,Currency,Year,Condition,Total Hours,Total Seats,Flight Rules,Category,Propulsion,No. Engines,Make,Model,City,State,Country,Continent,National Origin,Eng. 1 Hours,Maint. Eng. 1,Eng. 2 Hours,Maint. Eng. 2,Prop. 1 Hours,Maint. Prop. 1,Prop. 2 Hours,Maint. Prop. 2,text
58500.0,USD,1960,Used,3268.0,,,Airplane,Piston Engine,1,Piper Aircraft,Comanche 250,Lubbock,TX,United States,,United States,690.0,SMOH,,,,SPOH,,,$
102500.0,USD,1966,Used,5170.0,4,IFR,Airplane,Piston Engine,1,Cessna,T210,Kingman,AZ,United States,,United States,400.0,SFRM,,,,,,,$
79500.0,USD,,Used,4735.0,4,IFR,Airplane,Piston Engine,2,Piper Aircraft,Twin Comanche,Concord,NC,United States,,United States,593.0,,1762.0,,406.0,,406.0,,$
29900.0,USD,1976,Used,9906.0,2,,Airplane,Piston Engine,1,Cessna,150M,Kenosha,WI,United States,,United States,,,,,,,,,$
165000.0,USD,1980,Used,4788.0,7,,Airplane,Piston Engine,2,Beechcraft,60 Duke,Medford,OR,United States,,United States,1336.0,,681.0,,1103.0,,1103.0,,$
105000.0,USD,2014,Used,250.0,2,IFR,Airplane,Piston Engine,1,Van'S Aircraft,Rv-7/7A,Taylorville,IL,United States,,United States,910.0,,,,,,,,$
120000.0,USD,1968,Used,4020.0,,,Airplane,Piston Engine,1,Cessna,210H,Chino,CA,United States,,United States,15.0,SFRM,,,,,,,$
190000.0,USD,1972,Used,7039.0,6,IFR,Airplane,Piston Engine,1,Beechcraft,A36 Bonanza 36,Riverside,CA,United States,,United States,892.0,SNEW,,,,SMOH,,,$
27500.0,USD,1946,Used,5400.0,2,VFR,Airplane,Piston Engine,1,Aeronca,7 Champion Ac,Taunton. KTAN,MA,United States,,United States,350.0,,,,,,,,$
64999.0,USD,1969,Used,4435.0,2,VFR,Airplane,Piston Engine,1,Cessna,150K,Winter Park,FL,United States,,United States,737.0,SMOH,,,,SMOH,,,$
169000.0,USD,1969,Used,6428.0,6,VFR,Airplane,Piston Engine,1,Cessna,P206D,,MT,United States,,United States,400.0,SFRM,,,,SPOH,,,$
21900.0,USD,1946,Used,2440.0,2,,Airplane,Piston Engine,1,Aeronca,11Ac Chief,Shelbyville,TN,United States,,United States,390.0,SMOH,,,,,,,$
79900.0,USD,1962,Used,5334.0,4,,Airplane,Piston Engine,1,Cessna,182 Texas Skyway Conversion,Chicago,IL,United States,,United States,1554.0,SFRM,163.0,STOH,,SNEW,,,$
29500.0,USD,1946,Used,1807.0,2,,Airplane,Piston Engine,1,Ercoupe,415-C,Gonzales,LA,United States,,United States,519.0,SFRM,,,,,,,$
239500.0,USD,1980,Used,5895.0,6,,Airplane,Piston Engine,1,Cessna,T210N,,,,,United States,115.0,SNEW,,,,SOH,,,$
79500.0,USD,1981,Used,2187.0,,,Airplane,Piston Engine,1,Mooney International Corp,M20K 231,Stuart,FL,United States,,United States,130.0,SMOH,,,,SNEW,,,$
159000.0,USD,2019,Used,59.0,2,,Airplane,Piston Engine,1,Flight Design,Ctlsi,Glendale,AZ,United States,,Germany,59.0,,,,,,,,$
55000.0,USD,1999,Used,403.0,2,,Rotorcraft,Piston Engine,,Rotorway International,Exec 162F,Stuart,FL,United States,,United States,403.0,SNEW,,,,,,,$
125000.0,EUR,1978,,3405.0,,,Airplane,Piston Engine,2,Cessna,340A,,,Germany,Europe,United States,,,,,,,,,Price: â‚¬
3400000.0,,2001,,,,,Airplane,Turbofan,,Dassault Aviation,50Ex,,,France,Europe,France,,,,,,,,,Price: USD $
3800000.0,,2007,,3416.0,,,Airplane,Turbofan,,Cessna,Citation Cj3,,,Pakistan,Asia,United States,,,,,,,,,Price: USD $
150000.0,USD,1998,Used,1084.0,2,VFR,Airplane,Piston Engine,1,Aviat,Pitts S2-C,Medicine Hat,AB,Canada,,United States,38.0,SOH,,,,SOH,,,$
124900.0,USD,1942,Used,,,,Airplane,Piston Engine,1,Vultee Aircraft,Bt-13A,Redondo Beach,CA,United States,,United States,,,,,,,,,$
650000.0,,2001,,10600.0,,,Rotorcraft,Turboshaft,,Airbus Helicopters,As 350Ba,,,Canada,North America,France,,,,,,,,,Price: USD $
159900.0,USD,2004,Used,705.0,,,Airplane,Piston Engine,1,Aviat,Husky A-1B,Burlington,ON,Canada,,United States,705.0,SNEW,,,,SPOH,,,$
130000.0,USD,1977,Used,3009.0,,,Airplane,Piston Engine,1,Cessna,U206G,Calgary,,Canada,,United States,1198.0,SMOH,,,,SPOH,,,$
189000.0,USD,1988,Used,2300.0,,,Airplane,Piston Engine,1,Lake,La 270 T-Renegade,Vancouver,BC,Canada,,United States,125.0,SMOH,,,,SPOH,,,$
399000.0,,2006,,2200.0,,,Rotorcraft,Piston Engine,,Robinson Helicopter,R44 Raven Ii,,,Canada,North America,United States,,,,,,,,,Price: USD $
155000.0,USD,1998,Used,957.0,2,VFR,Airplane,Piston Engine,1,Aviat,Husky A-1A,Canning,NS,Canada,,United States,,,,,,,,,$
185000.0,USD,1975,Used,10372.0,,,Airplane,Piston Engine,2,Piper Aircraft,Navajo Chieftain,Calgary,,Canada,,United States,96.0,SMOH,0.0,SMOH,570.0,SPOH,570.0,SPOH,$
4495000.0,,2013,,720.0,,,Rotorcraft,Turboshaft,,Cessna,Aw109Sp Grand New,,,Canada,North America,Italy,,,,,,,,,Price: USD $
1795000.0,,2010,,3290.0,,,Airplane,Turbofan,,Embraer,Phenom 100,,TX,United States,North America,Brazil,,,,,,,,,Price: USD $
325000.0,USD,1945,Used,5117.0,,,Airplane,Piston Engine,2,Grumman,G44A Super Widgeon,Calgary,AB,Canada,,United States,349.0,SMOH,349.0,SMOH,54.0,SPOH,54.0,SPOH,$
85500.0,USD,1947,Used,3387.0,,,Airplane,Piston Engine,1,Piper Aircraft,Pa-11 Cub Special,Calgary,,Canada,,United States,14.0,SMOH,,,,SPOH,,,$
2695000.0,USD,2011,Used,2859.0,8,,Airplane,Turboprop,,Beechcraft,King Air 350I,Calgary,,Canada,,United States,2859.0,SNEW,,,,SNEW,,,$
299000.0,USD,2012,Used,632.0,4,VFR,Rotorcraft,Piston Engine,,Robinson Helicopter,R44 Raven Ii,Mirabel,QC,Canada,,United States,632.0,,,,,SNEW,,,$
45500.0,USD,1963,Project,98294.0,4,VFR,Airplane,Piston Engine,1,Cessna,180F,Kelowna,BC,Canada,,United States,1046.0,SOH,,,,,,,$
140000.0,USD,1979,Used,3651.0,,,Airplane,Piston Engine,1,Mooney International Corp,M20K 231,Calgary,AB,Canada,,United States,572.0,SMOH,,,,SPOH,,,$
195000.0,USD,1963,Used,4759.0,,,Airplane,Piston Engine,2,Beechcraft,H18,Ste St Marie,ON,Canada,,United States,659.0,SMOH,959.0,SMOH,59.0,SPOH,59.0,SPOH,$
1325000.0,USD,1993,Used,2577.0,7,,Airplane,Turboprop,,Beechcraft,King Air C90B,Calgary,AB,Canada,,United States,2577.0,SNEW,,,,SPOH,,,$
145000.0,USD,1966,Used,3184.0,4,VFR,Airplane,Piston Engine,1,Cessna,185E,Montreal,QC,Canada,,United States,881.0,SMOH,,,,,,,$
54900.0,USD,1967,Used,2325.0,,,Airplane,Piston Engine,1,Piper Aircraft,Cherokee 235,Calgary,,Canada,,United States,858.0,SMOH,,,,SPOH,,,$
3450000.0,USD,1969,Used,25131.0,19,IFR,Airplane,Turboprop,,Dehavilland,Dhc-6-300,LaRonge,SK,Canada,,Canada,4012.0,SMOH,2037.0,SMOH,336.0,SOH,336.0,SOH,$
164900.0,USD,1977,Used,4482.0,4,,Airplane,Piston Engine,1,Cessna,172K Skyhawk,Kalispell,MT,United States,,United States,1090.0,SNEW,,,211.0,SNEW,211.0,SNEW,$
379000.0,USD,1981,Used,6230.0,,,Airplane,Piston Engine,2,Cessna,414A,High River,BC,Canada,,United States,,,,,,,,,$
40000.0,USD,1959,Used,3088.0,,,Airplane,Piston Engine,1,Piper Aircraft,Comanche 180,Calgary,AB,Canada,,United States,708.0,SMOH,,,,SPOH,,,$
1950000.0,USD,2013,Used,405.0,8,,Airplane,Turboprop,,Cessna,Caravan 208,Calgary,,Canada,,United States,405.0,,,,,,,,$
130000.0,USD,2009,Used,258.0,2,VFR,Airplane,Piston Engine,1,Glasair Aviation,Sportsman,Winfield,BC,Canada,,United States,294.0,SNEW,,,,SNEW,,,$
26500.0,USD,1973,Used,3150.0,,,Airplane,Piston Engine,1,Lake,La 4/200,Livermore,CA,United States,,United States,560.0,SMOH,,,,SPOH,,,$
1325000.0,,,,9838.6,,,Rotorcraft,Turboshaft,,Airbus Helicopters,Bk 117 B-2,,,Canada,North America,Germany,,,,,,,,,Price: USD $
1375000.0,,,,11257.0,,,Rotorcraft,Turboshaft,,Airbus Helicopters,Bk 117 B-2,,,Canada,North America,Germany,,,,,,,,,Price: USD $
85000.0,USD,1987,Used,1818.0,6,IFR,Airplane,Piston Engine,1,Lake,La 250 Renegade,Cap St-Ignace,QC,Canada,,United States,1818.0,SNEW,,,,SMOH,,,$
179000.0,USD,1978,Used,,,,Airplane,Piston Engine,2,Beechcraft,B60 Duke,Burlington,ON,Canada,,United States,,,,,,,,,$
358000.0,,2016,,220.0,,,Rotorcraft,Piston Engine,,Robinson Helicopter,R44,,,Canada,North America,United States,,,,,,,,,Price: USD $
60000.0,USD,1977,Used,5284.0,6,IFR,Airplane,Piston Engine,1,Beechcraft,C24R Sierra,Burlington,ON,Canada,,United States,1673.0,SMOH,,,,SPOH,,,$
69000.0,USD,1975,Used,1800.0,,,Airplane,Piston Engine,1,Lake,La 4/200,Colchester,VT,United States,,United States,1300.0,SMOH,300.0,STOH,,,,,$
221900.0,USD,2001,Used,1247.0,,,Airplane,Piston Engine,1,Cessna,T182 Skylane,Calgary,,Canada,,United States,1247.0,SMOH,,,,SPOH,,,$
185000.0,,1987,,24787.0,,,Airplane,Turboprop,,British Aerospace,J31,,,Canada,North America,United Kingdom,,,,,,,,,Price: USD $
975000.0,USD,2008,Used,1590.0,,,Airplane,Turboprop,,Piper Aircraft,Meridian M500,Ponoka,AB,Canada,,United States,1590.0,SNEW,,,,SPOH,,,$
1500000.0,USD,2007,Used,1533.0,,,Airplane,Turboprop,,Cessna,Caravan 208,Calgary,,Canada,,United States,1533.0,SHSI,,,,SPOH,,,$
60000.0,USD,1977,Used,11194.0,4,,Airplane,Piston Engine,1,Cessna,172 Hawk Xp-R172,DELTA,BC,Canada,,United States,1409.0,SFRM,,,,SOH,,,$
2495000.0,,2004,,4232.0,,,Airplane,Turbofan,,Bombardier Learjet,45Xr,,,Canada,North America,Canada,,,,,,,,,Price: USD $
489000.0,,2018,,100.0,,,Rotorcraft,Piston Engine,,Robinson Helicopter,R44 Raven Ii,,,Canada,North America,United States,,,,,,,,,Price: USD $
335900.0,,2011,,659.0,,,Rotorcraft,Piston Engine,,Robinson Helicopter,R44 Raven Ii,,,Canada,North America,United States,,,,,,,,,Price: USD $
1250000.0,USD,1997,Used,12690.0,,,Airplane,Turbofan,,Cessna,Citation V Ultra,Calgary,,Canada,,United States,1537.0,SMOH,1368.0,SMOH,,,,,$
169000.0,USD,1981,Used,2432.0,6,,Airplane,Piston Engine,1,Cessna,U206G,Drummondville,QC,Canada,,United States,1050.0,SMOH,,,,SMOH,,,$
650000.0,,1979,,6000.0,,,Rotorcraft,Turboshaft,,Airbus Helicopters,As 350Ba,,,Canada,North America,France,,,,,,,,,Price: USD $
222900.0,USD,2003,Used,3991.0,4,VFR,Rotorcraft,Piston Engine,,Robinson Helicopter,R44 Raven Ii,Chilliwack,BC,Canada,,United States,,,,,,,,,$
235000.0,USD,1990,Used,1942.0,4,IFR,Airplane,Piston Engine,1,Beechcraft,F33A Bonanza,Burlington,ON,Canada,,United States,744.0,SNEW,,,,SPOH,,,$
115000.0,USD,1974,Used,15069.0,6,IFR,Airplane,Piston Engine,2,Piper Aircraft,Seneca,DELTA,BC,Canada,,United States,1520.0,SOH,1047.0,SOH,1047.0,SNEW,1047.0,SNEW,$
105000.0,USD,1978,Used,9098.0,6,IFR,Airplane,Piston Engine,2,Cessna,310R,Olds,AB,Canada,,United States,81.0,STOH,486.0,STOH,400.0,SOH,400.0,SOH,$
99000.0,USD,1976,Used,215.0,4,IFR,Airplane,Piston Engine,1,Grumman,Aa5A Cheetah,Fort Lauderdale,FL,United States,,United States,215.0,,,,,,,,$
230000.0,,2012,,900.0,,,Rotorcraft,Piston Engine,,Robinson Helicopter,R44,,,Canada,North America,United States,,,,,,,,,Price: USD $
1849000.0,USD,2010,Used,3700.0,,,Airplane,Turbofan,,Embraer,Phenom 100,Calgary,AB,Canada,,Brazil,3666.0,SNEW,3687.0,SNEW,,,,,$
234000.0,USD,1981,Used,4510.0,,,Airplane,Piston Engine,2,Cessna,340A,Calgary,AB,Canada,,United States,975.0,SMOH,995.0,SMOH,172.0,SPOH,172.0,SPOH,$
115000.0,,1970,,8079.4,,,Airplane,Piston Engine,2,Piper Aircraft,Navajo,,,Canada,North America,United States,,,,,,,,,Price: USD $
235000.0,USD,2001,Used,214.0,,IFR,Airplane,Piston Engine,1,Socata,Tb-21 Gt Trinidad,Burlington,ON,Canada,,France,214.0,,,,,,,,$
220000.0,EUR,2004,,414.0,,,Ultralight,,,Murphy Aircraft,Moose,,,Germany,Europe,Canada,,,,,,,,,Price: â‚¬
249000.0,,1974,,2621.3,,,Airplane,Piston Engine,2,Cessna,414,,,Canada,North America,United States,,,,,,,,,Price: USD $
175000.0,USD,1973,Used,3227.0,4,,Airplane,Piston Engine,1,Cessna,182 Skylane,Sidney,,Canada,,United States,647.0,SMOH,,,,SNEW,,,$
98900.0,USD,1979,Used,4587.0,,,Airplane,Piston Engine,1,Cessna,Tr182Rg Skylane,Calgary,AB,Canada,,United States,1307.0,SMOH,,,,SPOH,,,$
347000.0,,2011,,800.0,,,Rotorcraft,Piston Engine,,Robinson Helicopter,R44 Raven Ii,,,Canada,North America,United States,,,,,,,,,Price: USD $
